Date,Team,Home,Opp,W_or_L,R,RA,W_L,Rank,GB,Win,Loss,Save,Time,D_N,Attendance
2023-06-01,PHI,Away,NYM,L,2,4,25-31,4,8,Scherzer,Walker,Smith,2:32,Day,38302
2023-06-02,PHI,Away,WSN,L,7,8,25-32,4,8,Finnegan,Brogdon,NA,3:18,Night,29827
2023-06-03,PHI,Away,WSN,W,4,2,26-32,4,8,Covey,Gore,Kimbrel,2:24,Day,30959
2023-06-04,PHI,Away,WSN,W,11,3,27-32,4,8,Suárez,Williams,NA,2:57,Day,29546
2023-06-05,PHI,Home,DET,W,8,3,28-32,4,7.5,Nola,Wentz,NA,2:47,Night,33196
2023-06-06,PHI,Home,DET,W,1,0,29-32,4,7.5,Walker,Alexander,Kimbrel,2:07,Night,36664
2023-06-08,PHI,Home,DET,W-wo,3,2,30-32,3,8,Kimbrel,Lange,NA,2:41,Night,29028
2023-06-09,PHI,Home,LAD,W-wo,5,4,31-32,3,8,Soto,Ferguson,NA,2:52,Night,42364
2023-06-10,PHI,Home,LAD,L,0,9,31-33,3,9,Miller,Nola,Jackson,2:41,Day,44385
2023-06-11,PHI,Home,LAD,W,7,3,32-33,3,8,Walker,Ferguson,NA,2:44,Day,44287
2023-06-12,PHI,Away,ARI,L,8,9,32-34,3,8,Jameson,Covey,Castro,3:11,Night,18432
2023-06-13,PHI,Away,ARI,W,15,3,33-34,3,7.5,Wheeler,Davies,Ortiz,2:43,Night,20186
2023-06-14,PHI,Away,ARI,W,4,3,34-34,3,8,Kimbrel,McGough,Alvarado,2:54,Night,20286
2023-06-15,PHI,Away,ARI,W,5,4,35-34,3,8,Nola,Nelson,Kimbrel,2:55,Day,23032
2023-06-16,PHI,Away,OAK,W,6,1,36-34,3,8,Walker,Sears,NA,2:21,Night,16084
2023-06-17,PHI,Away,OAK,W,3,2,37-34,3,8,Vasquez,Waldichuk,Hoffman,3:27,Day,12015
2023-06-18,PHI,Away,OAK,W,3,2,38-34,3,8,Wheeler,Harris,Marte,2:35,Day,24326
2023-06-20,PHI,Home,ATL,L,2,4,38-35,3,9,Strider,Hoffman,Iglesias,2:46,Night,37746
2023-06-22,PHI,Home,ATL,L,1,5,38-36,3,10,Iglesias,Marte,NA,2:57,Day,39570
2023-06-23,PHI,Home,NYM,W,5,1,39-36,3,9,Walker,Senga,NA,2:44,Night,35093
2023-06-24,PHI,Home,NYM,L,2,4,39-37,3,10,Scherzer,Sánchez,Robertson,2:39,Day,43586
2023-06-25,PHI,Home,NYM,W,7,6,40-37,3,10,Hoffman,Brigham,Kimbrel,3:16,Day,42901
2023-06-27,PHI,Away,CHC,W,5,1,41-37,3,10.5,Suárez,Taillon,NA,2:24,Night,37072
2023-06-28,PHI,Away,CHC,W,8,5,42-37,3,10.5,Nola,Smyly,NA,3:00,Night,32379
2023-06-29,PHI,Away,CHC,W,3,1,43-37,3,10,Walker,Hendricks,Kimbrel,2:11,Night,35090
2023-06-30,PHI,Home,WSN,L,1,2,43-38,3,11,Gray,Sánchez,Harvey,2:33,Night,44261
2023-07-01,PHI,Home,WSN,W,19,4,44-38,3,11,Wheeler,Gore,NA,2:43,Day,42784
2023-07-02,PHI,Home,WSN,L,4,5,44-39,3,12,Williams,Suárez,Harvey,2:31,Day,41531
2023-07-04,PHI,Away,TBR,W,3,1,45-39,3,11.5,Nola,Eflin,Kimbrel,2:17,Day,22665
2023-07-05,PHI,Away,TBR,W,8,4,46-39,3,11.5,Walker,Chirinos,NA,2:40,Night,18208
2023-07-06,PHI,Away,TBR,W,3,1,47-39,3,11,Strahm,Thompson,NA,2:47,Night,17060
2023-07-07,PHI,Away,MIA,W,4,3,48-39,3,11,Hoffman,Puk,Kimbrel,2:21,Night,13850
2023-07-08,PHI,Away,MIA,L,3,5,48-40,3,12,Garrett,Suárez,Puk,2:35,Day,18132
2023-07-09,PHI,Away,MIA,L,3,7,48-41,3,12,Luzardo,Nola,NA,2:22,Day,21159
2023-07-14,PHI,Home,SDP,L,3,8,48-42,3,13,Darvish,Sánchez,Hader,2:56,Night,44028
2023-07-15,PHI,Home,SDP,W,6,4,49-42,3,11.5,Strahm,Hill,Kimbrel,3:02,Day,43712
2023-07-15,PHI,Home,SDP,W,9,4,50-42,3,11.5,Walker,Weathers,NA,3:10,Night,33132
2023-07-16,PHI,Home,SDP,W-wo,7,6,51-42,3,10.5,Hoffman,Hill,NA,3:30,Day,37204
2023-07-18,PHI,Home,MIL,W,4,3,52-42,2,9.5,Nola,Teheran,Kimbrel,2:35,Night,35302
2023-07-19,PHI,Home,MIL,L,3,5,52-43,2,9.5,Milner,Hoffman,Williams,2:40,Night,33753
2023-07-20,PHI,Home,MIL,L,0,4,52-44,2,10.5,Burnes,Walker,NA,2:23,Day,38276
2023-07-21,PHI,Away,CLE,L,5,6,52-45,2,11.5,Stephan,Suárez,Clase,2:54,Night,38260
2023-07-22,PHI,Away,CLE,L,0,1,52-46,2,11.5,Bibee,Wheeler,Clase,2:15,Night,37937
2023-07-23,PHI,Away,CLE,W,8,5,53-46,2,11.5,Kimbrel,Herrin,Marte,3:10,Day,31806
2023-07-24,PHI,Home,BAL,L,2,3,53-47,3,12,Baker,Kimbrel,Pérez,2:41,Night,44043
2023-07-25,PHI,Home,BAL,W-wo,4,3,54-47,2,11,Marte,Cano,NA,2:48,Night,37200
2023-07-26,PHI,Home,BAL,W,6,4,55-47,2,10,Domínguez,Bradish,Soto,2:21,Night,40235
2023-07-28,PHI,Away,PIT,W,2,1,56-47,2,10,Wheeler,Keller,Kimbrel,2:38,Night,34202
2023-07-29,PHI,Away,PIT,L,6,7,56-48,2,11,Priester,Nola,Bednar,3:03,Night,38434
2023-07-30,PHI,Away,PIT,L-wo,4,6,56-49,3,12,Perdomo,Vasquez,NA,3:00,Day,34515
2023-07-31,PHI,Away,MIA,W,4,2,57-49,2,11,Walker,Scott,Kimbrel,2:50,Night,9808
2023-08-01,PHI,Away,MIA,W,3,1,58-49,2,11,Soto,Robertson,Domínguez,2:22,Night,9600
2023-08-02,PHI,Away,MIA,L-wo,8,9,58-50,2,12,Scott,Covey,NA,4:06,Night,12669
2023-08-03,PHI,Away,MIA,W,4,2,59-50,2,11.5,Lorenzen,Cueto,Domínguez,2:19,Day,16709
2023-08-04,PHI,Home,KCR,L,5,7,59-51,2,12.5,Lyles,Nola,Cox,3:04,Night,36510
2023-08-05,PHI,Home,KCR,W,9,6,60-51,2,11.5,Strahm,Zerpa,Kimbrel,2:30,Night,42326
2023-08-06,PHI,Home,KCR,W,8,4,61-51,2,10.5,Walker,Greinke,NA,2:17,Day,43112
2023-08-08,PHI,Home,WSN,W,8,4,62-51,2,10.5,Wheeler,Williams,NA,2:33,Night,NA
2023-08-08,PHI,Home,WSN,L,4,5,62-52,2,10.5,Weems,Kimbrel,Finnegan,3:04,Night,40264
2023-08-09,PHI,Home,WSN,W,7,0,63-52,2,10.5,Lorenzen,Gore,NA,2:09,Night,30406
2023-08-10,PHI,Home,WSN,W,6,2,64-52,2,9.5,Strahm,Machado,NA,3:08,Night,30113
2023-08-11,PHI,Home,MIN,W,13,2,65-52,2,9.5,Sánchez,Keuchel,NA,2:46,Night,33071
2023-08-12,PHI,Home,MIN,L,1,8,65-53,2,11,López,Walker,NA,3:00,Night,40117
